experiment_name,question,faithfulness,answer_correctness,answer_relevancy,context_precision,context_recall,latency_ms,llm_model,embedding_model,retriever_k
voyageai_512_64_contextual_hybrid_True,How can I submit academic documents for Qualification Check?,0.835,0.75,0.783,0.703,0.833,1796,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,I've submitted my documents to a third party and they've told me that they're unable to verify them. How can I solve this?,0.8,0.914,0.855,0.685,0.87,1845,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,I need a letter to confirm that I withdrew from UCD. Where do I go?,0.963,0.756,0.837,0.801,0.772,1730,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I get a form stamped?,0.913,0.74,0.748,0.71,0.727,1591,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Can the Student Desk stamp forms in place of the GardaÃ­?,0.878,0.846,0.812,0.746,0.733,1871,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Can I drop a module when online registration is 'closed'?,0.898,0.836,0.794,0.858,0.724,1816,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,What are extenuating circumstances & how do I apply?,0.918,0.814,0.851,0.724,0.821,1735,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,What is a substitute module?,0.781,0.87,0.765,0.844,0.719,1670,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Where can I find a syllabus/module descriptors of my course?,0.874,0.81,0.823,0.752,0.8,1700,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,What is a Leave of Absence and how do I apply?,0.871,0.665,0.868,0.782,0.653,1717,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I withdraw from my programme?,0.883,0.894,0.756,0.857,0.75,2131,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Why have I not progressed to the next stage?,0.853,0.871,0.792,0.724,0.826,1863,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Where can I find more information on applying for Recognition of Prior Learning (RPL)?,0.937,0.881,0.781,0.697,0.721,1578,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Can I change my first name under the Gender ID & Expression policy?,0.819,0.865,0.826,0.767,0.77,1673,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,I have a questions about UCD Micro-credentials,0.871,0.875,0.858,0.746,0.67,1956,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,When are the end of term exams and when are results released?,0.866,0.896,0.728,0.764,0.762,1440,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I view my results?,0.834,0.873,0.864,0.86,0.708,1447,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Can I check a hold on my record?,0.886,0.886,0.82,0.715,0.807,1842,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,What is the difference between a repeat and a resit?,0.888,0.801,0.825,0.82,0.726,1368,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Are final results for all programmes available online?,0.876,0.859,0.811,0.824,0.725,1685,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I calculate my Degree Award GPA?,0.845,0.864,0.89,0.767,0.883,1975,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Where can I access past exam papers?,0.9,0.865,0.899,0.771,0.753,1508,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I appeal a grade?,0.884,0.911,0.837,0.801,0.748,1730,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Can I submit my thesis electronically?,0.789,0.893,0.79,0.725,0.715,1551,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I submit my thesis electronically?,0.903,0.893,0.742,0.826,0.813,1595,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Where can I find guidelines/regulations about thesis formatting?,0.786,0.785,0.778,0.797,0.739,1334,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How many copies of my thesis do I need to submit?,0.872,0.738,0.855,0.72,0.718,1546,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,"If I submitted my thesis electronically, do I still need to submit a hardbound copy?",0.833,0.908,0.853,0.81,0.779,1421,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,What is the ACCE?,0.834,0.797,0.761,0.805,0.716,1572,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Do I have to submit my thesis by a certain time of day?,0.808,0.707,0.84,0.847,0.77,1524,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I correct the title of my thesis?,0.725,0.84,0.871,0.795,0.816,1966,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Where can I find information on both on-campus and off-campus accommodation?,0.916,0.804,0.863,0.819,0.668,1627,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Where can I search for lost property?,0.789,0.823,0.839,0.727,0.637,1933,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I apply for a Scholarship?,0.879,0.918,0.744,0.833,0.884,2061,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Where can I get a letter to confirm course completion for my Stamp 1G visa application?,0.849,0.846,0.802,0.83,0.822,1715,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Who do I contact if I have questions about my visa/visa requirements?,0.792,0.874,0.787,0.811,0.776,1992,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,I am an international student. Where can I find information about arriving in Ireland?,0.917,0.803,0.827,0.868,0.728,1778,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Where can I get a letter about QQI accreditation to support my PPSN application?,0.92,0.905,0.836,0.714,0.684,1744,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I complete my Garda Vetting Application?,0.879,0.983,0.767,0.837,0.806,1399,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Where can I find further information about conferring?,0.819,0.84,0.785,0.772,0.788,1554,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,"I am due to confer in September or December, what do I need to know?",0.883,0.792,0.783,0.807,0.726,1751,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Staff Query?,0.94,0.832,0.803,0.817,0.738,1894,phi3:mini,mxbai-embed-large,6
